quote_id,rfq_id,supplier_id,supplier_name,region,reliability_score,material_name,category,quantity,unit,unit_price,currency,lead_time_days
Q-RFQ-1001-apex-6,RFQ-1001,apex,Apex Industrial Supply,South,90,Steel Rebar,Steel,326,ea,1013.55,USD,38
Q-RFQ-1001-apex-7,RFQ-1001,apex,Apex Industrial Supply,South,90,Sheetrock,Drywall,413,ton,21.21,USD,31
Q-RFQ-1001-apex-8,RFQ-1001,apex,Apex Industrial Supply,South,90,PVC Plumbing Pipe,Plumbing,167,ton,85.38,USD,11
Q-RFQ-1001-apex-9,RFQ-1001,apex,Apex Industrial Supply,South,90,Drywall Screws,Drywall,77,yd3,15.6,USD,17
Q-RFQ-1001-apex-10,RFQ-1001,apex,Apex Industrial Supply,South,90,Ready Mix Concrete,Concrete,458,ea,125.03,USD,24
Q-RFQ-1001-metro-1,RFQ-1001,metro,Metro Contractor Depot,National,86,Exterior Coating,Paint,150,ton,31.36,USD,7
Q-RFQ-1001-metro-2,RFQ-1001,metro,Metro Contractor Depot,National,86,Paint Supplies,Paint,371,sq_ft,34.21,USD,7
Q-RFQ-1001-metro-3,RFQ-1001,metro,Metro Contractor Depot,National,86,LED Fixture,Electrical,41,yd3,63.63,USD,13
Q-RFQ-1001-metro-4,RFQ-1001,metro,Metro Contractor Depot,National,86,Steel Plate,Steel,283,sq_ft,1083.52,USD,5
Q-RFQ-1001-metro-5,RFQ-1001,metro,Metro Contractor Depot,National,86,Breaker Panel,Electrical,391,sq_ft,62.43,USD,21
Q-RFQ-1001-metro-6,RFQ-1001,metro,Metro Contractor Depot,National,86,Structural Steel Beam,Steel,326,ea,1108.24,USD,37
Q-RFQ-1001-metro-7,RFQ-1001,metro,Metro Contractor Depot,National,86,Drywall Sheet,Drywall,413,ton,20.35,USD,30
Q-RFQ-1001-metro-8,RFQ-1001,metro,Metro Contractor Depot,National,86,Copper Pipe,Plumbing,167,ton,100.57,USD,11
Q-RFQ-1001-metro-9,RFQ-1001,metro,Metro Contractor Depot,National,86,Gypsum Board,Drywall,77,yd3,19.68,USD,20
Q-RFQ-1001-metro-10,RFQ-1001,metro,Metro Contractor Depot,National,86,Ready Mix Concrete,Concrete,458,ea,154.94,USD,28
Q-RFQ-1002-buildtech-1,RFQ-1002,buildtech,BuildTech Supply,Midwest,94,Ready Mix Concrete,Concrete,453,yd3,124.04,USD,14
Q-RFQ-1002-buildtech-2,RFQ-1002,buildtech,BuildTech Supply,Midwest,94,Drywall Screws,Drywall,110,linear_ft,17.27,USD,20
Q-RFQ-1002-buildtech-3,RFQ-1002,buildtech,BuildTech Supply,Midwest,94,Copper Pipe,Plumbing,467,linear_ft,71.96,USD,36
Q-RFQ-1002-buildtech-4,RFQ-1002,buildtech,BuildTech Supply,Midwest,94,Concrete,Concrete,219,yd3,146.4,USD,28
Q-RFQ-1002-buildtech-5,RFQ-1002,buildtech,BuildTech Supply,Midwest,94,HVAC Compressor,HVAC,171,linear_ft,708.62,USD,27
Q-RFQ-1002-buildtech-6,RFQ-1002,buildtech,BuildTech Supply,Midwest,94,Exterior Coating,Paint,363,linear_ft,29.74,USD,13
Q-RFQ-1002-buildtech-7,RFQ-1002,buildtech,BuildTech Supply,Midwest,94,Structural Steel Beam,Steel,136,yd3,982.17,USD,20
Q-RFQ-1002-buildtech-8,RFQ-1002,buildtech,BuildTech Supply,Midwest,94,Interior Paint,Paint,56,ea,38.9,USD,4
Q-RFQ-1002-buildtech-9,RFQ-1002,buildtech,BuildTech Supply,Midwest,94,Concrete Mix,Concrete,269,sq_ft,143.73,USD,43
Q-RFQ-1002-buildtech-10,RFQ-1002,buildtech,BuildTech Supply,Midwest,94,Conduit,Electrical,54,sq_ft,47.06,USD,9
Q-RFQ-1002-constructpro-1,RFQ-1002,constructpro,ConstructPro Materials,Northeast,88,Cement Blend,Concrete,453,yd3,149.38,USD,15
Q-RFQ-1002-constructpro-2,RFQ-1002,constructpro,ConstructPro Materials,Northeast,88,Drywall Screws,Drywall,110,linear_ft,21.78,USD,17
Q-RFQ-1002-constructpro-3,RFQ-1002,constructpro,ConstructPro Materials,Northeast,88,Copper Pipe,Plumbing,467,linear_ft,90.83,USD,44
Q-RFQ-1002-constructpro-4,RFQ-1002,constructpro,ConstructPro Materials,Northeast,88,Ready Mix Concrete,Concrete,219,yd3,133.96,USD,25
Q-RFQ-1002-constructpro-5,RFQ-1002,constructpro,ConstructPro Materials,Northeast,88,VAV Box,HVAC,171,linear_ft,663.38,USD,27
Q-RFQ-1002-constructpro-6,RFQ-1002,constructpro,ConstructPro Materials,Northeast,88,Exterior Coating,Paint,363,linear_ft,32.4,USD,14
Q-RFQ-1002-constructpro-7,RFQ-1002,constructpro,ConstructPro Materials,Northeast,88,Structural Steel Beam,Steel,136,yd3,1089.46,USD,21
Q-RFQ-1002-constructpro-8,RFQ-1002,constructpro,ConstructPro Materials,Northeast,88,Interior Paint,Paint,56,ea,39.41,USD,3
Q-RFQ-1002-constructpro-9,RFQ-1002,constructpro,ConstructPro Materials,Northeast,88,Concrete,Concrete,269,sq_ft,134.69,USD,31
Q-RFQ-1002-constructpro-10,RFQ-1002,constructpro,ConstructPro Materials,Northeast,88,Junction Box,Electrical,54,sq_ft,58.72,USD,12
Q-RFQ-1002-urban-2,RFQ-1002,urban,UrbanBuild Wholesale,West,82,Gypsum Board,Drywall,110,linear_ft,19.54,USD,25
Q-RFQ-1002-urban-4,RFQ-1002,urban,UrbanBuild Wholesale,West,82,Portland Cement,Concrete,219,yd3,142.82,USD,16
Q-RFQ-1002-urban-5,RFQ-1002,urban,UrbanBuild Wholesale,West,82,HVAC Air Handler,HVAC,171,linear_ft,630.94,USD,38
Q-RFQ-1002-urban-6,RFQ-1002,urban,UrbanBuild Wholesale,West,82,Interior Paint,Paint,363,linear_ft,34.83,USD,11
Q-RFQ-1002-urban-7,RFQ-1002,urban,UrbanBuild Wholesale,West,82,Steel Plate,Steel,136,yd3,998.91,USD,29
Q-RFQ-1002-urban-8,RFQ-1002,urban,UrbanBuild Wholesale,West,82,Primer,Paint,56,ea,37.35,USD,16
Q-RFQ-1002-urban-9,RFQ-1002,urban,UrbanBuild Wholesale,West,82,Concrete Mix,Concrete,269,sq_ft,153.72,USD,43
Q-RFQ-1002-urban-10,RFQ-1002,urban,UrbanBuild Wholesale,West,82,Breaker Panel,Electrical,54,sq_ft,47.93,USD,16
Q-RFQ-1002-apex-1,RFQ-1002,apex,Apex Industrial Supply,South,90,Concrete Mix,Concrete,453,yd3,161.92,USD,8
Q-RFQ-1002-apex-2,RFQ-1002,apex,Apex Industrial Supply,South,90,Joint Compound,Drywall,110,linear_ft,19.52,USD,30
Q-RFQ-1002-apex-4,RFQ-1002,apex,Apex Industrial Supply,South,90,Portland Cement,Concrete,219,yd3,133.96,USD,19
Q-RFQ-1002-apex-5,RFQ-1002,apex,Apex Industrial Supply,South,90,Ductwork,HVAC,171,linear_ft,757.87,USD,27
Q-RFQ-1002-apex-7,RFQ-1002,apex,Apex Industrial Supply,South,90,Structural Steel Beam,Steel,136,yd3,887.84,USD,32
Q-RFQ-1002-apex-8,RFQ-1002,apex,Apex Industrial Supply,South,90,Paint Supplies,Paint,56,ea,36.22,USD,13
Q-RFQ-1002-apex-9,RFQ-1002,apex,Apex Industrial Supply,South,90,Ready Mix Concrete,Concrete,269,sq_ft,149.58,USD,30
Q-RFQ-1002-apex-10,RFQ-1002,apex,Apex Industrial Supply,South,90,LED Fixture,Electrical,54,sq_ft,51.9,USD,8
Q-RFQ-1002-metro-2,RFQ-1002,metro,Metro Contractor Depot,National,86,Sheetrock,Drywall,110,linear_ft,18.52,USD,23
Q-RFQ-1002-metro-3,RFQ-1002,metro,Metro Contractor Depot,National,86,Plumbing Fixture,Plumbing,467,linear_ft,92.23,USD,44
Q-RFQ-1002-metro-4,RFQ-1002,metro,Metro Contractor Depot,National,86,Portland Cement,Concrete,219,yd3,144.71,USD,14
Q-RFQ-1002-metro-5,RFQ-1002,metro,Metro Contractor Depot,National,86,Ductwork,HVAC,171,linear_ft,805.91,USD,29
Q-RFQ-1002-metro-6,RFQ-1002,metro,Metro Contractor Depot,National,86,Exterior Coating,Paint,363,linear_ft,41.94,USD,15
Q-RFQ-1002-metro-7,RFQ-1002,metro,Metro Contractor Depot,National,86,Rebar Grade 60,Steel,136,yd3,1103.31,USD,28
Q-RFQ-1002-metro-8,RFQ-1002,metro,Metro Contractor Depot,National,86,Paint Supplies,Paint,56,ea,35.7,USD,14
Q-RFQ-1002-metro-9,RFQ-1002,metro,Metro Contractor Depot,National,86,Portland Cement,Concrete,269,sq_ft,138.44,USD,39
Q-RFQ-1002-metro-10,RFQ-1002,metro,Metro Contractor Depot,National,86,Conduit,Electrical,54,sq_ft,62.77,USD,13
Q-RFQ-1003-buildtech-1,RFQ-1003,buildtech,BuildTech Supply,Midwest,94,Copper Pipe,Plumbing,451,yd3,74.8,USD,25
Q-RFQ-1003-buildtech-2,RFQ-1003,buildtech,BuildTech Supply,Midwest,94,HVAC Air Handler,HVAC,245,sq_ft,729.79,USD,33
Q-RFQ-1003-buildtech-3,RFQ-1003,buildtech,BuildTech Supply,Midwest,94,Latex Paint,Paint,263,linear_ft,30.22,USD,23
Q-RFQ-1003-buildtech-4,RFQ-1003,buildtech,BuildTech Supply,Midwest,94,Interior Paint,Paint,286,linear_ft,30.99,USD,34
Q-RFQ-1003-buildtech-5,RFQ-1003,buildtech,BuildTech Supply,Midwest,94,Drywall Screws,Drywall,362,yd3,17.61,USD,19
Q-RFQ-1003-buildtech-6,RFQ-1003,buildtech,BuildTech Supply,Midwest,94,Junction Box,Electrical,196,yd3,62.1,USD,37
Q-RFQ-1003-buildtech-7,RFQ-1003,buildtech,BuildTech Supply,Midwest,94,Joint Compound,Drywall,369,ea,20.0,USD,22
Q-RFQ-1003-buildtech-8,RFQ-1003,buildtech,BuildTech Supply,Midwest,94,Gypsum Board,Drywall,100,yd3,17.51,USD,14
Q-RFQ-1003-buildtech-9,RFQ-1003,buildtech,BuildTech Supply,Midwest,94,Steel Rebar,Steel,337,yd3,895.99,USD,29
Q-RFQ-1003-buildtech-10,RFQ-1003,buildtech,BuildTech Supply,Midwest,94,Pipe Fittings,Plumbing,124,linear_ft,91.11,USD,24
Q-RFQ-1003-constructpro-1,RFQ-1003,constructpro,ConstructPro Materials,Northeast,88,Copper Pipe,Plumbing,451,yd3,82.99,USD,22
Q-RFQ-1003-constructpro-2,RFQ-1003,constructpro,ConstructPro Materials,Northeast,88,HVAC Compressor,HVAC,245,sq_ft,663.24,USD,35
Q-RFQ-1003-constructpro-3,RFQ-1003,constructpro,ConstructPro Materials,Northeast,88,Primer,Paint,263,linear_ft,31.67,USD,22
Q-RFQ-1003-constructpro-4,RFQ-1003,constructpro,ConstructPro Materials,Northeast,88,Interior Paint,Paint,286,linear_ft,38.03,USD,33
Q-RFQ-1003-constructpro-5,RFQ-1003,constructpro,ConstructPro Materials,Northeast,88,Joint Compound,Drywall,362,yd3,19.16,USD,11
Q-RFQ-1003-constructpro-6,RFQ-1003,constructpro,ConstructPro Materials,Northeast,88,LED Fixture,Electrical,196,yd3,56.34,USD,39
Q-RFQ-1003-constructpro-8,RFQ-1003,constructpro,ConstructPro Materials,Northeast,88,Joint Compound,Drywall,100,yd3,19.36,USD,3
Q-RFQ-1003-constructpro-9,RFQ-1003,constructpro,ConstructPro Materials,Northeast,88,Steel Plate,Steel,337,yd3,905.48,USD,29
Q-RFQ-1003-constructpro-10,RFQ-1003,constructpro,ConstructPro Materials,Northeast,88,Pipe Fittings,Plumbing,124,linear_ft,98.71,USD,28
Q-RFQ-1003-urban-1,RFQ-1003,urban,UrbanBuild Wholesale,West,82,PVC Plumbing Pipe,Plumbing,451,yd3,90.11,USD,18
Q-RFQ-1003-urban-2,RFQ-1003,urban,UrbanBuild Wholesale,West,82,HVAC Air Handler,HVAC,245,sq_ft,645.66,USD,27
Q-RFQ-1003-urban-3,RFQ-1003,urban,UrbanBuild Wholesale,West,82,Paint Supplies,Paint,263,linear_ft,34.8,USD,27
Q-RFQ-1003-urban-4,RFQ-1003,urban,UrbanBuild Wholesale,West,82,Primer,Paint,286,linear_ft,32.61,USD,36
Q-RFQ-1003-urban-5,RFQ-1003,urban,UrbanBuild Wholesale,West,82,Drywall Screws,Drywall,362,yd3,19.67,USD,20
Q-RFQ-1003-urban-6,RFQ-1003,urban,UrbanBuild Wholesale,West,82,Junction Box,Electrical,196,yd3,46.34,USD,30
Q-RFQ-1003-urban-7,RFQ-1003,urban,UrbanBuild Wholesale,West,82,Sheetrock,Drywall,369,ea,15.7,USD,15
Q-RFQ-1003-urban-8,RFQ-1003,urban,UrbanBuild Wholesale,West,82,Sheetrock,Drywall,100,yd3,17.19,USD,15
Q-RFQ-1003-urban-9,RFQ-1003,urban,UrbanBuild Wholesale,West,82,Steel Plate,Steel,337,yd3,829.46,USD,20
Q-RFQ-1003-urban-10,RFQ-1003,urban,UrbanBuild Wholesale,West,82,Pipe Fittings,Plumbing,124,linear_ft,81.6,USD,17
Q-RFQ-1003-apex-1,RFQ-1003,apex,Apex Industrial Supply,South,90,Copper Pipe,Plumbing,451,yd3,82.62,USD,23
Q-RFQ-1003-apex-2,RFQ-1003,apex,Apex Industrial Supply,South,90,HVAC Air Handler,HVAC,245,sq_ft,593.56,USD,24
Q-RFQ-1003-apex-3,RFQ-1003,apex,Apex Industrial Supply,South,90,Primer,Paint,263,linear_ft,29.46,USD,19
Q-RFQ-1003-apex-4,RFQ-1003,apex,Apex Industrial Supply,South,90,Latex Paint,Paint,286,linear_ft,36.52,USD,30
Q-RFQ-1003-apex-5,RFQ-1003,apex,Apex Industrial Supply,South,90,Sheetrock,Drywall,362,yd3,16.96,USD,13
Q-RFQ-1003-apex-6,RFQ-1003,apex,Apex Industrial Supply,South,90,Electrical Wire,Electrical,196,yd3,64.26,USD,40
Q-RFQ-1003-apex-7,RFQ-1003,apex,Apex Industrial Supply,South,90,Drywall Sheet,Drywall,369,ea,21.04,USD,18
Q-RFQ-1003-apex-9,RFQ-1003,apex,Apex Industrial Supply,South,90,Steel Plate,Steel,337,yd3,990.61,USD,22
Q-RFQ-1003-apex-10,RFQ-1003,apex,Apex Industrial Supply,South,90,Pipe Fittings,Plumbing,124,linear_ft,78.49,USD,28
Q-RFQ-1003-metro-1,RFQ-1003,metro,Metro Contractor Depot,National,86,Ball Valve,Plumbing,451,yd3,84.49,USD,24
Q-RFQ-1003-metro-2,RFQ-1003,metro,Metro Contractor Depot,National,86,VAV Box,HVAC,245,sq_ft,805.69,USD,33
Q-RFQ-1003-metro-3,RFQ-1003,metro,Metro Contractor Depot,National,86,Exterior Coating,Paint,263,linear_ft,37.14,USD,17
Q-RFQ-1003-metro-4,RFQ-1003,metro,Metro Contractor Depot,National,86,Paint Supplies,Paint,286,linear_ft,34.93,USD,40
Q-RFQ-1003-metro-5,RFQ-1003,metro,Metro Contractor Depot,National,86,Sheetrock,Drywall,362,yd3,19.06,USD,21
Q-RFQ-1003-metro-6,RFQ-1003,metro,Metro Contractor Depot,National,86,Conduit,Electrical,196,yd3,58.71,USD,34
Q-RFQ-1003-metro-7,RFQ-1003,metro,Metro Contractor Depot,National,86,Sheetrock,Drywall,369,ea,19.59,USD,18
Q-RFQ-1003-metro-8,RFQ-1003,metro,Metro Contractor Depot,National,86,Joint Compound,Drywall,100,yd3,19.69,USD,10
Q-RFQ-1003-metro-9,RFQ-1003,metro,Metro Contractor Depot,National,86,Rebar Grade 60,Steel,337,yd3,1066.8,USD,21
Q-RFQ-1003-metro-10,RFQ-1003,metro,Metro Contractor Depot,National,86,Copper Pipe,Plumbing,124,linear_ft,101.44,USD,21
Q-RFQ-1004-buildtech-1,RFQ-1004,buildtech,BuildTech Supply,Midwest,94,Drywall Screws,Drywall,316,sq_ft,17.39,USD,28
Q-RFQ-1004-buildtech-2,RFQ-1004,buildtech,BuildTech Supply,Midwest,94,Ball Valve,Plumbing,39,linear_ft,82.88,USD,33
Q-RFQ-1004-buildtech-3,RFQ-1004,buildtech,BuildTech Supply,Midwest,94,HVAC Compressor,HVAC,274,ton,719.5,USD,14
Q-RFQ-1004-buildtech-4,RFQ-1004,buildtech,BuildTech Supply,Midwest,94,Gypsum Board,Drywall,199,ea,20.33,USD,33
Q-RFQ-1004-buildtech-5,RFQ-1004,buildtech,BuildTech Supply,Midwest,94,LED Fixture,Electrical,309,yd3,54.15,USD,30
Q-RFQ-1004-buildtech-6,RFQ-1004,buildtech,BuildTech Supply,Midwest,94,Structural Steel Beam,Steel,148,linear_ft,848.28,USD,30
Q-RFQ-1004-buildtech-7,RFQ-1004,buildtech,BuildTech Supply,Midwest,94,Conduit,Electrical,378,linear_ft,49.76,USD,26
Q-RFQ-1004-buildtech-9,RFQ-1004,buildtech,BuildTech Supply,Midwest,94,HVAC Air Handler,HVAC,232,ton,625.16,USD,19
Q-RFQ-1004-buildtech-10,RFQ-1004,buildtech,BuildTech Supply,Midwest,94,Paint Supplies,Paint,213,linear_ft,38.33,USD,20
Q-RFQ-1004-constructpro-1,RFQ-1004,constructpro,ConstructPro Materials,Northeast,88,Joint Compound,Drywall,316,sq_ft,19.35,USD,30
Q-RFQ-1004-constructpro-2,RFQ-1004,constructpro,ConstructPro Materials,Northeast,88,Copper Pipe,Plumbing,39,linear_ft,80.46,USD,33
Q-RFQ-1004-constructpro-3,RFQ-1004,constructpro,ConstructPro Materials,Northeast,88,HVAC Air Handler,HVAC,274,ton,709.42,USD,19
Q-RFQ-1004-constructpro-4,RFQ-1004,constructpro,ConstructPro Materials,Northeast,88,Drywall Sheet,Drywall,199,ea,19.37,USD,32
Q-RFQ-1004-constructpro-5,RFQ-1004,constructpro,ConstructPro Materials,Northeast,88,Breaker Panel,Electrical,309,yd3,58.92,USD,19
Q-RFQ-1004-constructpro-6,RFQ-1004,constructpro,ConstructPro Materials,Northeast,88,Steel Plate,Steel,148,linear_ft,850.85,USD,26
Q-RFQ-1004-constructpro-7,RFQ-1004,constructpro,ConstructPro Materials,Northeast,88,LED Fixture,Electrical,378,linear_ft,59.93,USD,28
Q-RFQ-1004-constructpro-8,RFQ-1004,constructpro,ConstructPro Materials,Northeast,88,Latex Paint,Paint,254,yd3,35.08,USD,10
Q-RFQ-1004-constructpro-9,RFQ-1004,constructpro,ConstructPro Materials,Northeast,88,VAV Box,HVAC,232,ton,741.53,USD,22
Q-RFQ-1004-constructpro-10,RFQ-1004,constructpro,ConstructPro Materials,Northeast,88,Primer,Paint,213,linear_ft,38.66,USD,23
Q-RFQ-1004-urban-1,RFQ-1004,urban,UrbanBuild Wholesale,West,82,Gypsum Board,Drywall,316,sq_ft,15.57,USD,31
Q-RFQ-1004-urban-2,RFQ-1004,urban,UrbanBuild Wholesale,West,82,Plumbing Fixture,Plumbing,39,linear_ft,69.51,USD,40
Q-RFQ-1004-urban-3,RFQ-1004,urban,UrbanBuild Wholesale,West,82,Ductwork,HVAC,274,ton,615.77,USD,17
Q-RFQ-1004-urban-4,RFQ-1004,urban,UrbanBuild Wholesale,West,82,Joint Compound,Drywall,199,ea,18.55,USD,31
Q-RFQ-1004-urban-5,RFQ-1004,urban,UrbanBuild Wholesale,West,82,LED Fixture,Electrical,309,yd3,60.38,USD,28
Q-RFQ-1004-urban-6,RFQ-1004,urban,UrbanBuild Wholesale,West,82,Structural Steel Beam,Steel,148,linear_ft,806.97,USD,25
Q-RFQ-1004-urban-7,RFQ-1004,urban,UrbanBuild Wholesale,West,82,Breaker Panel,Electrical,378,linear_ft,47.43,USD,35
Q-RFQ-1004-urban-8,RFQ-1004,urban,UrbanBuild Wholesale,West,82,Exterior Coating,Paint,254,yd3,28.39,USD,13
Q-RFQ-1004-urban-9,RFQ-1004,urban,UrbanBuild Wholesale,West,82,HVAC Compressor,HVAC,232,ton,673.23,USD,18
Q-RFQ-1004-urban-10,RFQ-1004,urban,UrbanBuild Wholesale,West,82,Paint Supplies,Paint,213,linear_ft,34.9,USD,23
Q-RFQ-1004-apex-1,RFQ-1004,apex,Apex Industrial Supply,South,90,Drywall Sheet,Drywall,316,sq_ft,18.32,USD,32
Q-RFQ-1004-apex-3,RFQ-1004,apex,Apex Industrial Supply,South,90,HVAC Compressor,HVAC,274,ton,654.94,USD,13
Q-RFQ-1004-apex-4,RFQ-1004,apex,Apex Industrial Supply,South,90,Drywall Screws,Drywall,199,ea,21.02,USD,39
Q-RFQ-1004-apex-5,RFQ-1004,apex,Apex Industrial Supply,South,90,Breaker Panel,Electrical,309,yd3,64.89,USD,27
Q-RFQ-1004-apex-6,RFQ-1004,apex,Apex Industrial Supply,South,90,Steel Plate,Steel,148,linear_ft,1013.85,USD,25
Q-RFQ-1004-apex-7,RFQ-1004,apex,Apex Industrial Supply,South,90,Conduit,Electrical,378,linear_ft,63.42,USD,31
Q-RFQ-1004-apex-8,RFQ-1004,apex,Apex Industrial Supply,South,90,Interior Paint,Paint,254,yd3,38.1,USD,11
Q-RFQ-1004-apex-9,RFQ-1004,apex,Apex Industrial Supply,South,90,HVAC Air Handler,HVAC,232,ton,657.33,USD,24
Q-RFQ-1004-apex-10,RFQ-1004,apex,Apex Industrial Supply,South,90,Paint Supplies,Paint,213,linear_ft,33.72,USD,23
Q-RFQ-1004-metro-1,RFQ-1004,metro,Metro Contractor Depot,National,86,Drywall Screws,Drywall,316,sq_ft,18.85,USD,23
Q-RFQ-1004-metro-2,RFQ-1004,metro,Metro Contractor Depot,National,86,Ball Valve,Plumbing,39,linear_ft,86.55,USD,30
Q-RFQ-1004-metro-3,RFQ-1004,metro,Metro Contractor Depot,National,86,VAV Box,HVAC,274,ton,713.11,USD,26
Q-RFQ-1004-metro-4,RFQ-1004,metro,Metro Contractor Depot,National,86,Drywall Screws,Drywall,199,ea,20.42,USD,37
Q-RFQ-1004-metro-5,RFQ-1004,metro,Metro Contractor Depot,National,86,Breaker Panel,Electrical,309,yd3,53.64,USD,27
Q-RFQ-1004-metro-6,RFQ-1004,metro,Metro Contractor Depot,National,86,Structural Steel Beam,Steel,148,linear_ft,1033.84,USD,20
Q-RFQ-1004-metro-7,RFQ-1004,metro,Metro Contractor Depot,National,86,Breaker Panel,Electrical,378,linear_ft,52.58,USD,29
Q-RFQ-1004-metro-8,RFQ-1004,metro,Metro Contractor Depot,National,86,Interior Paint,Paint,254,yd3,36.58,USD,14
Q-RFQ-1004-metro-9,RFQ-1004,metro,Metro Contractor Depot,National,86,Ductwork,HVAC,232,ton,675.08,USD,15
